,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Average Household Income by Deciles/Type of Dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Monthly Household Employment Income (Including Employer CPF Contributions) Among Resident Employed Households by Deciles, 2000 - 2025 (Household Income, Annual)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Dollar,
Deciles1/,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
Total,15205,14570,13986,13152,12301,12258,12411,12161,12051,11611,11525,11153,10479,10356,9627,8733,8202,8421,7438,6798,6599,6290,6281,6234,6420,5949,
  1st (Lowest),2685,2434,2338,2317,2042,1978,2047,1956,1938,1910,1926,1776,1711,1644,1583,1498,1362,1401,1322,1260,1257,1232,1223,1265,1331,1382,
  2nd,5446,5032,4921,4626,4359,4292,4116,4009,3934,3911,3823,3643,3371,3305,3133,2942,2695,2697,2417,2306,2256,2198,2165,2180,2276,2241,
  3rd,7736,7159,7020,6393,5847,5853,5913,5846,5818,5689,5595,5229,5000,4788,4423,4160,3791,3831,3379,3180,3118,2990,2983,2947,3045,2987,
  4th,10104,9632,9323,8454,8141,7841,7796,7644,7422,7295,7075,6869,6379,6184,5800,5405,4976,4915,4336,4037,4022,3792,3749,3722,3867,3685,
  5th,12635,11493,11219,10541,10046,9808,9825,9522,9348,8894,8723,8304,7998,7608,7040,6624,5992,6059,5367,4985,4863,4647,4644,4581,4687,4506,
  6th,15141,14249,13669,12587,12138,11508,11747,11468,11001,10892,10676,10109,9482,9139,8445,7854,7327,7499,6565,6026,5873,5519,5645,5522,5672,5308,
  7th,17823,16927,15968,15023,14233,13907,13942,13664,13535,12887,12658,11893,11304,10912,10097,9317,8801,8975,7935,7191,7146,6640,6728,6674,6764,6354,
  8th,20985,19974,19372,17922,16679,16278,16920,16217,16023,15401,14940,14505,13831,13219,12335,11127,10704,10835,9499,8815,8647,8011,8246,8139,8329,7616,
  9th,24893,24285,23133,22175,20603,20043,20475,20256,19632,19020,18433,18031,17011,16376,15549,13953,13439,14016,12403,11077,10719,10367,10270,10306,10760,9461,
  10th (Highest),34601,34511,32896,31486,28922,31076,31326,31025,31855,30211,31396,31173,28701,30388,27863,24454,22928,23986,21155,19104,18086,17502,17161,17006,17473,15952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: It is notable that some resident employed households in the lowest income decile owned a car (15.3%), employed a domestic worker (19.3%), lived in private property (10.0%) or were with household reference persons aged 65 years and over (38.2%) in 2025. Not all households are consistently in the same decile group from one year to the next. For example, a household may move from a higher to a lower decile in a particular year due to reduced income if a household member is temporarily unemployed, before moving up the deciles when the member resumes employment in the subsequent year. In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1/ Based on ranking of all resident employed households by their monthly household employment income per household member (including employer CPF contributions).,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Employment Income:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the sum of income received by employed members of the household from employment and business excluding the income of live-in domestic workers. Monthly household employment income includes one-twelfth of the annual bonus. Data on household employment income refer to household employment income before accounting for Government transfers and taxes, unless stated otherwise.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Employed Households:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to households where the household reference person is a Singapore citizen or permanent resident and with at least one employed person. 
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 28/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,
